sample_number,sample_name,species_name,strain_id,in_IAMM,accession_number,source,dna_prep,ref_genome,
27,D20-160027-4500T,"Alteromonas macleodii ","ATCC 27126 (alt)
",,,,AM27126,,
28,D20-160028-4500T,"Alteromonas macleodii ",Hot1A3,Y,,,Hot1A3,,
29,D20-160029-4500T,Alteromonas macleodii,BS11,Y,,,BS11,,
30,D20-160030-4500T,Alteromonas mediterraneae,DE1,Y,,,DE1,,
31,D20-160031-4500T,Alteromonas macleodii 'Aegean Sea MED64'  DSM 26499,26499,Y,,,26499,,
32,D20-160032-4500T,Arenibacter algicola strain SMS7,SMS7,,,,SMS7,,
33,D20-160033-4500T,Loktanella vestfoldensis,Luca5,,,,Luka5,,
34,D20-160034-4500T,Brevundimonas diminuta,Bdim,Y,,,Bdim,,
35,D20-160035-4500T,Dinoroseobacter shibae,DFL12,Y,,,DFL12,,
36,D20-160036-4500T,Gramella forsetii,FORS,Y,,,FORS,,
37,D20-160037-4500T,Marinobacter adhaerens,HP15,Y,,,HP15,,
38,D20-160038-4500T,Marinomonas mediterranea,MMB1,Y,,,MMB1,,
39,D20-160039-4500T,Pseudoalteromonas citrea,Citrea,Y,,,Citrea,,
40,D20-160040-4500T,Rhodobacter sphaeroides,RSpher,Y,,,RSpher,,
41,D20-160041-4500T,Roseovarius mucosus (Luca2),Roseo,Y,,,Roseo,,
42,D20-160042-4500T,"Ruegeria pomeroyi ",DSS-3,Y,,,DSS-3,,
43,D20-160043-4500T,"Shewanella woodyi ",Woodyi,Y,,,Woodyi,,
44,D20-160044-4500T,Sphingorhabdus flavimaris,SMR4y,,,,SMR4y,,
45,D20-160045-4500T,"Sulfitobacter pseudonitzschiae ",SMR1,,,,SMR1,,
46,D20-160046-4500T,Vibrio natriegens,Vnat,Y,,,Vnat,,
47,D20-160047-4500T,Algoriphagus machipongonensis,Pr1white,Y,,,Pr1w,,
48,D20-160048-4500T,Algoriphagus machipongonensis,Pr1red,Y,,,Pr1r,,
49,D20-160049-4500T,Pseudoalteromonas haloplanktis (from CIP),Cip,Y,,,Cip,,
50,D20-160050-4500T,"Croceibacter atlanticus ",atlcs,Y,,,atlcs,,
51,D20-160051-4500T,"Pelagibacterium halotolerans ",B2,Same as B2China?,,,B2,,
52,D20-160052-4500T,"Phaeobacter gallaeciensis ",Pga11,Same as Pgall?,,,Pga11,,
53,D20-160053-4500T,"Pseudoalteromonas atlantica ",T6C,Y,,,T6C,,
54,D20-160054-4500T,"Pseudoalteromonas haloplanktis ",Phalo,Y,,,Phalo,,
55,D20-160055-4500T,"Shewanella baltica ",Shew,Same as shewden?,,,Shew,,
56,D20-160056-4500T,Alcanivorax dieselolei,Dies,Y,,,Dies,,
57,D20-160057-4500T,Halobacillus kuroshimensis,Kuro,Y,,,Kuro,,
58,D20-160058-4500T,Corynebacterium stationis,Cstat,Y,,,Cstat,,
59,D20-160059-4500T,Vibrio azureus,Azure,Y,,,Azure,,
60,D20-160060-4500T,Pseudomonas abietaniphila,Abie,Y,,,Abie,,
61,D20-160061-4500T,Alcanivorax borkumensis,Bork,Y,,,Bork,,
62,D20-160062-4500T,Serratia sp.,Ser,Same as serr?,,,Ser,,
63,D20-160063-4500T,Escherichia coli MRE600,Mre,Same as MRE600?,,,Mre,,
64,D20-160064-4500T,Rhodococcus erythropolis,eryth,Y,,,eryth,,
65,D20-160065-4500T,Kordia algicida Sohn et al. 2004,kordia,Y,,,kordia,,
66,D20-160066-4500T,Pelagibaca bermudensis,bermu,Y,,,bermu,,
67,D20-160067-4500T,Pseudobacteriovorax antillogorgiicola,Vorax,Y,,,Vorax,,
68,D20-160068-4500T,Haliea salexigens DSM 19537,Salex,Y,,,Salex,,
69,D20-160069-4500T,Simiduia agarivorans SA1 = DSM 21679,Simid,Y,,,Simid,,
70,D20-160070-4500T,Sulfitobacter pseudonitzschiae (Luca1),Nitsch,Same as nitzsch?,,,Nitsch,,
71,D20-160071-4500T,Kocuria sp.,DSM 17348,,,,17348,,
72,D20-160072-4500T,Serinicoccus marinus,DSM 15273,,,,Sma15273,,
73,D20-160073-4500T,Microbacterium indicum,DSM 19969,,,,19969,,
74,D20-160074-4500T,Echinicola vietnamensis,DSM 17526,,,,Evi17526,,
75,D20-160075-4500T,Pseudomonas pelagia,DSM 25163,,,,25163,,
76,D20-160076-4500T,Algoriphagus marincola,DSM 16067,,,,16067,,
77,D20-160077-4500T,Rhodococcus qingshengii,DSM 45222,,,,45222,,
78,D20-160078-4500T,Bacillus abyssalis,DSM 25875,,,,DSM 25875,,
79,D20-160079-4500T,Echinicola pacifica,DSM 19836,,,,DSM 19836,,
80,D20-160080-4500T,Domibacillus iocasae,DSM 29979,,,,Dio29979,,
81,D20-160081-4500T,Salinispora arenicola,DSM 44819,,,,SAR44819,,
82,D20-160082-4500T,Sinorhizobium meliloti DSM 23913,23913,,,,23913,,
83,D20-160083-4500T,Halomonas campaniensis,DSM 15293,,,,15293,,
84,D20-160084-4500T,Pontibacillus halophilus,DSM 19796,,,,19796,,
85,D20-160085-4500T,Jeotgalicoccus marinus,DSM 19772,,,,Jme19772,,
86,D20-160086-4500T,Poseidonibacter lekithochrous,DSM 100870,,,,Pois,,
87,D20-160087-4500T,Enterobacter species,RC202 SDSMT,,,,RC202,,
88,D20-160088-4500T,Gimesia maris,DSM 8797,,,,8797W,,
89,D20-160089-4500T," "," ",,,,B8_M,,
90,D20-160090-4500T,Gimesia maris,DSM 8797,,,,8797Y,,
91,D20-160091-4500T," "," ",,,,B10_M,,
92,D20-160092-4500T," "," ",,,,C3_M,,
93,D20-160093-4500T," "," ",,,,F3_M,,
